kod_vykonu;nazov_vykonu;kod_ms
5t600;Incízie kostného a kĺbneho tkaniva chrbtice, debridement;S12-04
5t601;Incízie kostného a kĺbneho tkaniva chrbtice, sekvestrotómia;S12-04
5t604;Incízie kostného a kĺbneho tkaniva chrbtice, drenáž;S12-04
5t605;Incízie kostného a kĺbneho tkaniva chrbtice, revízia fistuly;S12-04
5t606;Incízie kostného a kĺbneho tkaniva chrbtice, revízia fistuly so sekvestrotómiou;S12-04
5t60x;Incízie kostného a kĺbneho tkaniva chrbtice, ostatné;S12-04
5t6201;Excízia spondylofytu (osteofytu), 1 segment;S12-04
5t6202;Excízia spondylofytu (osteofytu), 2 segmenty;S12-04
5t6203;Excízia spondylofytu (osteofytu), 3 segmenty;S12-04
5t6204;Excízia spondylofytu (osteofytu), 4 a viac segmentov;S12-04
5t6211;Parciálna excízia tela stavca chrbtice, 1 segment;S12-04
5t6212;Parciálna excízia tela stavca chrbtice, 2 segmenty;S12-04
5t6213;Parciálna excízia tela stavca chrbtice, 3 segmenty;S12-04
5t6214;Parciálna excízia tela stavca chrbtice, 4 a viac segmentov;S12-04
5t621a;Parciálna resekcia  hemivertebry;S12-04
5t621b;Excízia kostného a kĺbneho tkaniva chrbtice dentis epistrophei;S12-04
5t6401;Dorzálna spondylodéza, 1 segment;S12-04
5t6402;Dorzálna spondylodéza, 2 segmenty;S12-04
5t6403;Dorzálna spondylodéza, 3 segmenty;S12-04
5t6404;Dorzálna spondylodéza, 4 segmenty;S12-04
5t6405;Dorzálna spondylodéza, 5 segmentov;S12-04
5t6406;Dorzálna spondylodéza, 6 a viac segmentov;S12-04
5t6321;Kostná náhrada na chrbtici, použite autológnej spongiózy (štepu) alebo kortikospongiózneho štepu;S12-04
5t6300;Kostná náhrada na chrbtici, použitie kostného materiálu z kolagénnych vlákien bez obohatenia rastovými bunkami kosti;S12-04
5t6301;Kostná náhrada na chrbtici, použitie kostného materiálu z kolagénnych vlákien s obohatením rastovými bunkami kosti;S12-04
5t6310;Kostná náhrada na chrbtici, použite keramického kostného materiálu bez obohatenia rastovými bunkami kosti;S12-04
5t6311;Kostná náhrada na chrbtici, použite keramického kostného materiálu s obohatením rastovými bunkami kosti;S12-04
5t6320;Kostná náhrada na chrbtici, použite humánnej demineralizovanej kostnej matrix;S12-04
5t6322;Kostná náhrada na chrbtici, použitie alogénneho kostného transplantátu;S12-04
5t6323;Kostná náhrada na chrbtici, použitie xenogénneho kostného transplantátu;S12-04
5t63x;Kostná náhrada na chrbtici, ostatné;S12-04
5t6421;Ventrálna spondylodéza, 1 segment;S12-04
5t6422;Ventrálna spondylodéza, 2 segmenty;S12-04
5t6423;Ventrálna spondylodéza, 3 segmenty;S12-04
5t6424;Ventrálna spondylodéza, 4 segmenty;S12-04
5t6425;Ventrálna spondylodéza, 5 segmentov;S12-04
5t6426;Ventrálna spondylodéza, 6 a viac segmentov;S12-04
5t6431;Dorzálna a ventrálna kombinovaná spondylodéza, 1 segment;S12-04
5t6432;Dorzálna a ventrálna kombinovaná spondylodéza, 2 segmenty;S12-04
5t6433;Dorzálna a ventrálna kombinovaná spondylodéza, 3 segmenty;S12-04
5t6434;Dorzálna a ventrálna kombinovaná spondylodéza, 4 segmenty;S12-04
